Date/Time,Surface_10,Sub_Surface_2,Surface_11,Surface_13,Surface_14,Surface_2,Surface_20,Surface_22,Surface_5,Sub_Surface_1,Surface_1,Surface_15,Surface_21,Surface_9,Surface_12,Surface_18,Surface_24,Surface_6
 01/01  01:00:00,-3.475821772,2.89E-02,-2.561474052,-3.724849286,-4.142869586,-3.716916729,-4.142869586,-3.479631995,-2.558298745,-3.998629124,19.527,19.527,19.527,19.527,-5.686007588,-5.650427946,-5.686007588,-5.650412003
 01/01  02:00:00,-2.464878544,1.783471087,-1.547769154,-2.839910887,-3.253162351,-2.831294652,-3.253162351,-2.473760937,-1.5429107,-2.069840255,19.527,19.527,19.527,19.527,-5.200574204,-5.150649514,-5.200574204,-5.150633772
 01/01  03:00:00,-2.359817714,1.032514008,-1.48195969,-2.722203899,-3.119776344,-2.713961376,-3.119776344,-2.371312131,-1.476327456,-2.53935059,19.527,19.527,19.527,19.527,-5.202079395,-5.150226773,-5.202079395,-5.150214893
 01/01  04:00:00,-2.136996348,1.695562959,-1.283038293,-2.50322046,-2.890597941,-2.495035976,-2.890597941,-2.14927916,-1.277191054,-2.038630234,19.527,19.527,19.527,19.527,-4.952981408,-4.899166968,-4.952981408,-4.899157309
 01/01  05:00:00,-1.683796032,2.003664311,-0.915935117,-2.048999287,-2.387573504,-2.041547492,-2.387573504,-1.693183772,-0.911118456,-1.109660018,19.527,19.527,19.527,19.527,-3.929515749,-3.884214222,-3.929515749,-3.884207299
 01/01  06:00:00,-1.379327126,2.903205031,-0.618668373,-1.748803382,-2.079709344,-1.741539836,-2.079709344,-1.388623885,-0.613899159,-0.51675968,19.527,19.527,19.527,19.527,-3.518793399,-3.472484676,-3.518793399,-3.472479055
 01/01  07:00:00,-1.082012444,3.208579806,-0.306697606,-1.460150409,-1.795247211,-1.452780382,-1.795247211,-1.091745179,-0.30176351,3.52E-02,19.527,19.527,19.527,19.527,-3.153292152,-3.104845585,-3.153292152,-3.104840798
 01/01  08:00:00,2.005243078,4.934816919,1.830533204,-1.143033134,-1.414367319,-1.136237881,-1.414367319,2.029011746,1.828127481,6.160587806,19.527,19.527,19.527,19.527,-2.06305733,-2.025061928,-2.06305733,-2.025058542
 01/01  09:00:00,10.06803895,7.676550504,9.488783564,-4.75E-02,-0.154183708,-4.10E-02,-0.154183708,10.31468995,9.440191764,21.42565723,19.527,19.527,19.527,19.527,2.042715875,2.058176481,2.042715875,2.058179059
 01/01  10:00:00,7.048707782,5.178601231,8.246638449,0.7035737,0.631718689,0.709695867,0.631718689,7.230915041,8.205897857,12.33028449,19.527,19.527,19.527,19.527,3.193056478,3.202658713,3.193056478,3.202660645
